1539611819.73,53.0833333333
1539611820.74,52.0833333333
1539611821.75,52.4166666667
1539611822.76,52.0
1539611823.77,51.9166666667
1539611824.77,52.6666666667
1539612868.64,51.1666666667
1539612869.65,51.1666666667
1539612870.66,51.1666666667
1539612871.67,51.1666666667
1539612872.68,51.75
1539612873.69,51.3333333333
1539612874.71,51.8333333333
1539612875.72,51.0833333333
1539612876.73,51.4166666667
1539612877.74,51.8333333333
1539612878.75,51.25
1539612879.76,51.3333333333
1539612880.77,50.8333333333
1539612881.79,51.0833333333
1539612882.8,51.5
1539612883.81,51.0
1539612884.82,51.75
1539612885.83,50.8333333333
1539612886.85,51.5
1539612887.86,51.3333333333
1539612888.87,51.1666666667
1539612889.88,51.4166666667
1539612890.89,51.3333333333
1539612891.9,51.5833333333
1539612892.91,51.1666666667
1539612893.92,51.4166666667
1539612894.94,51.4166666667
1539612895.95,51.0833333333
1539612896.96,51.75
1539612897.97,51.4166666667
